country_code,country_name,year,value
AUS,Australia,1960,88202.351
AUS,Australia,1961,90589.568
AUS,Australia,1962,94912.961
AUS,Australia,1963,101029.517
AUS,Australia,1964,108979.573
AUS,Australia,1965,120966.996
AUS,Australia,1966,120332.605
AUS,Australia,1967,129265.417
AUS,Australia,1968,134622.904
AUS,Australia,1969,142257.598
AUS,Australia,1970,147618.752
AUS,Australia,1971,152774.554
AUS,Australia,1972,157486.649
AUS,Australia,1973,170992.21
AUS,Australia,1974,172356.334
AUS,Australia,1975,175883.988
AUS,Australia,1976,174244.839
AUS,Australia,1977,187787.07
AUS,Australia,1978,202015.03
AUS,Australia,1979,205069.641
AUS,Australia,1980,220746.066
AUS,Australia,1981,230360.94
AUS,Australia,1982,234119.615
AUS,Australia,1983,225003.453
AUS,Australia,1984,236594.84
AUS,Australia,1985,241229.928
AUS,Australia,1986,239964.813
AUS,Australia,1987,256106.947
AUS,Australia,1988,261145.405
AUS,Australia,1989,277771.583
AUS,Australia,1990,263630
AUS,Australia,1991,264760
AUS,Australia,1992,268400
AUS,Australia,1993,273050
AUS,Australia,1994,280180
AUS,Australia,1995,290180
AUS,Australia,1996,300810
AUS,Australia,1997,307850
AUS,Australia,1998,328620
AUS,Australia,1999,333710
AUS,Australia,2000,339450
AUS,Australia,2001,345640
AUS,Australia,2002,353369.9951
AUS,Australia,2003,352579.9866
AUS,Australia,2004,365809.9976
AUS,Australia,2005,370089.9963
AUS,Australia,2006,375489.9902
AUS,Australia,2007,385750
AUS,Australia,2008,388940.0024
AUS,Australia,2009,395290.0085
AUS,Australia,2010,387540.0085
AUS,Australia,2011,386380.0049
AUS,Australia,2012,386970.0012
AUS,Australia,2013,380279.9988
AUS,Australia,2014,371630.0049
AUS,Australia,2015,377799.9878
AUS,Australia,2016,384989.9902
AUS,Australia,2017,389160.0037
AUS,Australia,2018,387070.0073
AUS,Australia,2019,386529.9988
